date,unemployment_rate,civilian_population
1/10/82,0.07,111.82
1/11/82,0.06,111.94
1/12/82,0.08,112.53
1/1/83,0.08,116.25
1/2/83,0.07,120.72
1/3/83,0.07,117.15
1/4/83,0.11,117.24
1/5/83,NA,NA
1/6/83,NA,NA
1/7/83,0.12,117.84
1/8/83,0.11,116.21
1/9/83,0.11,112.49
1/10/83,0.09,112.76
1/11/83,NA,NA
1/12/83,0.11,115.61
1/1/84,NA,NA
1/2/84,0.1,123.08
1/3/84,0.07,124.42
1/4/84,0.07,130.35
1/5/84,0.09,128.4
1/6/84,0.08,130.38
1/7/84,0.08,127.34
1/8/84,0.06,122.41
1/9/84,NA,NA
1/10/84,0.07,122.04
1/11/84,0.1,117.21
1/12/84,NA,NA
1/1/85,NA,NA
1/2/85,0.1,116.05
1/3/85,0.13,121.51
1/4/85,0.1,126.11
1/5/85,0.09,123.14
1/6/85,0.1,120.95
1/7/85,NA,NA
1/8/85,0.1,128.06
1/9/85,0.11,132.16
1/10/85,0.09,126.22
1/11/85,0.07,121.09
1/12/85,0.08,124.22
1/1/86,0.09,119.51
1/2/86,0.07,124.53
1/3/86,0.06,123.8
1/4/86,0.08,123.98
1/5/86,0.06,128.09
1/6/86,0.07,128.07
1/7/86,NA,NA
1/8/86,0.09,128.51
1/9/86,0.08,128.84
1/10/86,0.08,131.23
1/11/86,0.08,129.4
1/12/86,0.1,127.32
1/1/87,0.05,129.03
1/2/87,0.09,129.71
1/3/87,0.08,131.01
1/4/87,0.08,131.94
1/5/87,0.08,138.69
1/6/87,0.08,129.45
1/7/87,0.08,129.33
1/8/87,0.06,130.94
1/9/87,0.05,126.56
1/10/87,0.08,125.04
1/11/87,0.07,127.14
1/12/87,0.11,133.94
1/1/88,0.09,137.12
1/2/88,0.08,133.03
1/3/88,0.11,134.78
1/4/88,0.1,135.65
1/5/88,0.1,147.31
1/6/88,0.1,143.65
1/7/88,0.09,137.35
1/8/88,0.1,133.23
1/9/88,0.09,133.24
1/10/88,0.06,132.37
1/11/88,0.08,141.16
1/12/88,0.09,140.8
1/1/89,0.08,137.61
1/2/89,0.11,135.87
1/3/89,0.09,136.66
1/4/89,0.07,138.19
1/5/89,0.09,136.62
1/6/89,0.07,131.06
1/7/89,0.08,131.93
1/8/89,0.04,131.52
1/9/89,0.06,128.98
1/10/89,0.06,133.98
1/11/89,0.06,130.42
1/12/89,0.07,133.96
1/1/90,0.04,132.03
1/2/90,0.06,135.24
1/3/90,0.05,133.22
1/4/90,0.03,145.57
1/5/90,0.03,143.99
1/6/90,0.04,147.13
1/7/90,0.05,140.91
1/8/90,0.06,141.14
1/9/90,0.1,148.83
1/10/90,0.08,147.76
1/11/90,0.07,145.07
1/12/90,0.08,145.55
1/1/91,0.11,152.86
1/2/91,0.08,152.97
1/3/91,0.09,151.62
1/4/91,0.11,145.96
1/5/91,0.15,148.36
1/6/91,0.13,143.16
1/7/91,0.13,137.53
1/8/91,0.13,134.66
1/9/91,0.14,140.98
1/10/91,0.15,138.87
1/11/91,0.15,145.7
1/12/91,0.16,144.59
1/1/92,0.15,149.09
1/2/92,0.15,146.78
1/3/92,0.15,144.47
1/4/92,0.14,137.6
1/5/92,0.16,142.01
1/6/92,0.16,141.03
1/7/92,0.17,142.89
1/8/92,0.17,144.86
1/9/92,0.13,136.63
1/10/92,0.13,135.83
1/11/92,0.17,128.61
1/12/92,0.14,134.42
1/1/93,0.17,135.56
1/2/93,0.16,135.91
1/3/93,0.18,137.06
1/4/93,0.13,122.43
1/5/93,0.14,131.92
1/6/93,0.15,133.84
1/7/93,0.14,131.13
1/8/93,0.16,135.55
1/9/93,0.12,138.78
1/10/93,0.13,139.97
1/11/93,0.13,137.5
1/12/93,0.18,138.04
1/1/94,0.12,144.51
1/2/94,0.14,143.32
1/3/94,0.17,142.59
1/4/94,0.11,141.93
1/5/94,0.14,136.35
1/6/94,0.14,133.44
1/7/94,0.14,144.25
1/8/94,0.14,138.9
1/9/94,0.15,137.97
1/10/94,0.13,138.63
1/11/94,0.13,137.16
1/12/94,0.11,136.85
1/1/95,0.09,133.19
1/2/95,0.1,137.84
1/3/95,0.1,134.26
1/4/95,0.1,137.55
1/5/95,0.11,137.56
1/6/95,0.12,135.18
1/7/95,0.1,128.26
1/8/95,0.13,133.39
1/9/95,0.1,129.06
1/10/95,0.11,128.53
1/11/95,0.1,131.51
1/12/95,0.09,128.21
1/1/96,0.1,117.33
1/2/96,0.11,123.03
1/3/96,0.11,127.14
1/4/96,0.09,125.43
1/5/96,0.12,127.29
1/6/96,0.13,128.52
1/7/96,0.11,134.56
1/8/96,0.1,132.26
1/9/96,0.09,129.52
1/10/96,0.11,125.72
1/11/96,0.1,122.08
1/12/96,0.1,118.03
1/1/97,0.11,118.2
1/2/97,0.12,117.67
1/3/97,0.13,115.39
1/4/97,0.13,116.97
1/5/97,0.14,122.12
1/6/97,0.14,125.65
1/7/97,0.12,128.42
1/8/97,0.11,130.96
1/9/97,0.07,143.25
1/10/97,0.07,144.88
1/11/97,0.07,146.36
1/12/97,0.07,146.17
1/1/98,0.08,149.18
1/2/98,0.06,152.63
1/3/98,0.09,148.91
1/4/98,0.06,151.06
1/5/98,0.08,148.32
1/6/98,0.06,145.91
1/7/98,0.05,143.46
1/8/98,0.06,154.62
1/9/98,0.08,159.82
1/10/98,0.07,151.02
1/11/98,0.1,152.44
1/12/98,0.08,152
1/1/99,0.08,149.28
1/2/99,0.07,149.39
1/3/99,0.06,145.4
1/4/99,0.05,144.8
1/5/99,0.05,148.28
1/6/99,0.06,149.16
1/7/99,0.05,150.3
1/8/99,0.05,146.96
1/9/99,0.07,145.12
1/10/99,0.05,144.25
1/11/99,0.04,147.2
1/12/99,0.04,146
1/1/00,0.07,143.79
1/2/00,0.06,146.43
1/3/00,0.05,145.46
1/4/00,0.07,145.24
