Year,Quarter,Ag FT,Manufacturing FT,Retail FT,Health FT,Ag PT,Manufacturing PT,Retail PT,Health PT
1999,1,9.966957,5.8856256,3.9323083,2.1578851,1.420225,0.2524351,2.9312967,1.3697346
1999,2,9.3143585,6.2868003,3.9379246,1.9454333,1.062035,0.5468013,2.7767437,1.5352474
2000,3,7.7503218,6.6023935,3.7483837,2.1749214,0.9193133,0.684072,2.4568157,1.8059863
2000,4,7.0680512,7.419428,3.6842593,2.2089828,1.3835632,0.8530547,2.5494234,2.1550199
2000,1,7.6147194,7.5912047,3.4937419,2.1949379,1.9842104,0.8992105,2.7006759,2.0891221
2000,2,8.4469764,8.0968336,3.3633122,2.2277761,2.4099202,0.6088835,2.6636137,1.733878
2001,3,9.6352989,8.8744068,3.4339787,2.5096904,2.634932,0.5522902,2.9326779,1.5994223
2001,4,9.9473825,8.9683313,3.3802945,2.6992245,2.3235178,0.4570653,2.66789,1.7635578
2001,1,9.3224196,8.9532192,4.1192531,2.9862673,2.367628,0.6455248,2.4149196,2.0224504
2001,2,9.0615929,8.6243798,4.5990417,3.0282108,2.8167587,0.6391651,2.3718554,2.2661676
2002,3,8.7864383,8.115084,4.6435663,2.5115484,3.0119929,0.6900699,2.4346643,2.3345576
2002,4,8.731433,7.3562666,4.9390315,2.2780943,3.7079451,0.7745575,2.9065886,2.3856468
2002,1,8.2977357,6.9555712,4.4213218,2.4959068,3.6579348,0.5762004,3.1545075,2.3004478
2002,2,6.834765,7.3138378,4.0206503,2.7246725,2.9602582,0.6458716,3.4705647,2.0995246
2003,3,5.5853902,7.6585907,4.4173929,2.9754831,2.2844602,0.8034641,3.1104141,2.0234299
2003,4,4.2071831,8.5274995,4.7227796,3.2793663,1.452437,0.7399901,2.9836855,1.907669
2003,1,3.4590353,8.9900396,4.2380881,3.2561737,0.9870616,0.689218,3.2930163,1.8911655
2003,2,3.5264986,8.2669861,3.901935,3.4207258,0.7210187,0.5683208,3.505051,2.4048786
2004,3,3.7038157,6.7319758,3.5494258,3.3267212,0.8912019,0.3620253,3.9669149,2.8266914
2004,4,3.3969527,5.660665,3.3877233,3.3985414,0.6001618,0.3458314,3.9275162,2.7561436
2004,1,2.7054119,5.484777,4.0649647,3.2982416,0.482353,0.3579892,3.7814411,2.7480559
2004,2,2.1747629,5.8338533,4.9032829,2.9783255,0.6243393,0.4790188,3.9726549,2.4647031
2005,3,1.9395522,7.3065245,5.0178018,3.3870655,0.7300207,0.6923891,4.3690514,1.9595118
2005,4,2.3235793,8.4120761,5.1742043,3.3192289,1.0991225,0.9424888,4.7922173,1.7956521
2005,1,3.1815141,8.8106275,4.7702022,3.1703486,1.3805545,1.2080513,4.4487784,1.4422724
2005,2,4.4173762,9.5690076,4.0093258,3.0695434,1.5345064,1.2812592,4.0028823,1.8825029
2006,3,4.9656342,9.3941993,4.1625474,2.8289666,1.5613432,1.4902466,3.4397567,2.408892
2006,4,5.0035421,9.6387407,3.9707741,2.6348048,1.4452396,1.4765903,3.1183505,3.3334737
2006,1,4.7999588,9.9122825,4.8059544,2.8898555,1.2394464,1.1147496,3.2334354,3.9041923
2006,2,4.6254372,9.4617446,5.0267374,3.2088406,0.9485022,0.9903499,3.0361902,3.7701698
2007,3,4.9374968,9.4417522,5.1541349,3.0365905,0.7514343,0.6861141,2.9160269,3.9509185
2007,4,5.7914786,8.7486678,5.0619125,3.2605503,0.82067,0.4995822,2.905789,3.1828758
2007,1,5.9888713,8.3013406,4.3220345,3.4957355,1.0631038,0.7688708,3.1426754,3.216669
2007,2,5.8868183,8.1353451,4.0313392,3.6729818,1.5344314,0.8452296,3.8101594,2.9340236
2008,3,5.7297267,7.6183203,3.3854591,4.1430891,1.8888504,1.0236792,3.8748204,2.7378836
2008,4,6.6900738,7.9155321,2.8454828,4.0168474,2.2789747,1.1418937,3.5750022,3.1924109
2008,1,7.245053,7.683426,2.6139977,3.9180509,2.4665426,0.950089,2.7088184,2.8843998
2008,2,7.466466,7.6021772,2.5655743,3.5779837,2.5968356,0.7122813,2.0239707,3.47364
2009,3,7.8373012,7.7494475,2.4655062,3.1794207,2.8952563,0.3328306,2.4427743,3.3682059
2009,4,6.7998173,6.8999933,2.4851073,2.9986054,3.228697,0.1502906,3.1890869,2.9202328
2009,1,6.5947153,6.9191861,2.3833586,2.3601391,3.9307321,0.1614185,3.6742702,3.3108199
2009,2,7.0355549,7.2282537,2.9747228,2.712446,4.0207397,0.4450511,4.0865742,3.0704219
2010,3,6.5855612,6.7609084,2.975034,2.9134755,4.0543258,0.77274,3.947696,3.3858929
2010,4,6.0407349,7.1655935,2.9252945,3.0751704,3.5263123,0.9165152,3.667098,3.5273454
2010,1,5.7646324,6.8655122,3.1659346,3.6279328,3.289881,1.2182263,3.7684455,3.1932146
2010,2,5.3277491,6.1869802,2.7594009,3.3910022,3.5903898,1.2656954,3.7863608,3.0710798
2011,3,4.9712504,6.7724246,2.9522596,3.2601934,3.5247919,1.1996568,3.7985591,3.1015788
2011,4,4.7316564,7.625599,3.3190124,3.2090164,3.6694765,1.118543,3.9324271,3.0117696
2011,1,4.7655327,8.1585547,2.9496475,2.9055595,2.7651487,1.2934067,3.9213857,2.9685245
2011,2,5.3478535,8.4590892,2.709171,2.7860927,2.0243402,1.1558785,3.7571953,2.9526793
2012,3,5.5474784,7.9169928,2.0734038,2.8764187,1.5724061,1.1283872,3.7109644,2.4958315
2012,4,6.3875998,7.1600744,1.3687949,2.7220818,1.7587286,0.9929189,3.5991134,3.1071396
2012,1,6.5216631,7.1808527,1.7276434,2.9173429,2.2894959,0.6397887,3.8469187,3.6703788
2012,2,6.1706908,7.3651449,2.003051,3.1826448,2.8569144,0.6149373,4.0137649,3.9110587
2013,3,6.7883326,7.4280407,2.4422025,3.266516,3.0745991,0.4806772,4.0820139,4.2196174
2013,4,6.8424156,7.4941368,2.983,3.1749626,2.8690321,0.7847654,3.7598162,3.9199189
2013,1,7.7343227,6.6208557,2.4276793,3.0023213,2.6832506,0.7633836,3.4286912,3.4062064
2013,2,8.9599836,5.0611681,2.3705272,2.8742445,2.6485437,0.5946615,2.8858029,3.0173242
2014,3,8.8221116,4.6917384,2.2794024,2.6761094,2.3690281,0.6920448,2.796874,2.6414334
2014,4,8.0969141,3.9512013,2.6724472,3.3241839,2.2057518,0.5815827,3.0300822,2.1256753
2014,1,7.1915266,4.1784998,3.5461135,3.1848285,2.4785385,0.7779892,3.108858,2.4621105
2014,2,5.3811952,5.1263346,3.3453092,3.3240386,2.2321192,1.077692,3.0312718,3.024839
2015,3,4.6800104,5.5850505,3.3324393,3.4524928,2.8595704,1.2581773,2.4142086,3.3784488
