date,avg_level,unemployment_rate
1/10/82,188.8604839,0.07
1/11/82,188.232,0.06
1/12/82,187.4717512,0.08
1/1/83,186.7497696,0.08
1/2/83,186.0486735,0.07
1/3/83,185.511659,0.07
1/4/83,185.2874286,0.11
1/5/83,185.978894,#N/A
1/6/83,186.492381,#N/A
1/7/83,188.9120276,0.12
1/8/83,193.0695392,0.11
1/9/83,193.92,0.11
1/10/83,193.92,0.09
1/11/83,193.8953333,#N/A
1/12/83,193.7994009,0.11
1/1/84,193.4060829,#N/A
1/2/84,192.9665517,0.1
1/3/84,192.2483871,0.07
1/4/84,191.8496667,0.07
1/5/84,191.7197235,0.09
1/6/84,191.7069524,0.08
1/7/84,191.7825806,0.08
1/8/84,192.7945161,0.06
1/9/84,193.92,#N/A
1/10/84,193.9035484,0.07
1/11/84,193.6622857,0.1
1/12/84,193.1885253,#N/A
1/1/85,192.5930415,#N/A
1/2/85,191.9543878,0.1
1/3/85,191.3484332,0.13
1/4/85,190.923619,0.1
1/5/85,190.6979724,0.09
1/6/85,190.8085714,0.1
1/7/85,190.8705069,#N/A
1/8/85,191.8035023,0.1
1/9/85,193.7073333,0.11
1/10/85,193.7932719,0.09
1/11/85,193.8999048,0.07
1/12/85,193.8988018,0.08
1/1/86,193.7110138,0.09
1/2/86,193.112449,0.07
1/3/86,192.3601382,0.06
1/4/86,191.7215238,0.08
1/5/86,191.722212,0.06
1/6/86,191.8419524,0.07
1/7/86,193.016129,#N/A
1/8/86,193.9058986,0.09
1/9/86,193.92,0.08
1/10/86,193.92,0.08
1/11/86,193.8987619,0.08
1/12/86,193.6186175,0.1
1/1/87,193.1847926,0.05
1/2/87,192.3843367,0.09
1/3/87,191.3,0.08
1/4/87,190.5228571,0.08
1/5/87,190.5907834,0.08
1/6/87,191.715,0.08
1/7/87,194.0825806,0.08
1/8/87,194.2490323,0.06
1/9/87,194.036,0.05
1/10/87,193.8670968,0.08
1/11/87,193.6496667,0.07
1/12/87,193.3912903,0.11
1/1/88,193.1087097,0.09
1/2/88,192.3337931,0.08
1/3/88,191.1680645,0.11
1/4/88,190.3093333,0.1
1/5/88,190.2483871,0.1
1/6/88,191.3973333,0.1
1/7/88,193.2354839,0.09
1/8/88,194.2041935,0.1
1/9/88,194.254,0.09
1/10/88,193.9919355,0.06
1/11/88,193.777,0.08
1/12/88,193.6309677,0.09
1/1/89,193.2245161,0.08
