,timestep,dam_level,date
1,1,192.22,1/1/81
2,2,192.1928571,2/1/81
3,3,192.1657143,3/1/81
4,4,192.1385714,4/1/81
5,5,192.1114286,5/1/81
6,6,192.0842857,6/1/81
7,7,192.0571429,7/1/81
8,8,192.03,8/1/81
9,9,192.01,9/1/81
10,10,191.99,10/1/81
11,11,191.97,11/1/81
12,12,191.95,12/1/81
13,13,191.93,13/1/81
14,14,191.91,14/1/81
15,15,191.89,15/1/81
16,16,191.8642857,16/1/81
17,17,191.8385714,17/1/81
18,18,191.8128571,18/1/81
19,19,191.7871429,19/1/81
20,20,191.7614286,20/1/81
21,21,191.7357143,21/1/81
22,22,191.71,22/1/81
23,23,191.6885714,23/1/81
24,24,191.6671429,24/1/81
25,25,191.6457143,25/1/81
26,26,191.6242857,26/1/81
27,27,191.6028571,27/1/81
28,28,191.5814286,28/1/81
29,29,191.56,29/1/81
30,30,191.54,30/1/81
31,31,191.52,31/1/81
32,32,191.5,1/2/81
33,33,191.48,2/2/81
34,34,191.46,3/2/81
35,35,191.44,4/2/81
36,36,191.42,5/2/81
37,37,191.3971429,6/2/81
38,38,191.3742857,7/2/81
39,39,191.3514286,8/2/81
40,40,191.3285714,9/2/81
41,41,191.3057143,10/2/81
42,42,191.2828571,11/2/81
43,43,191.26,12/2/81
44,44,191.2357143,13/2/81
45,45,191.2114286,14/2/81
46,46,191.1871429,15/2/81
47,47,191.1628571,16/2/81
48,48,191.1385714,17/2/81
49,49,191.1142857,18/2/81
50,50,191.09,19/2/81
51,51,191.07,20/2/81
52,52,191.05,21/2/81
53,53,191.03,22/2/81
54,54,191.01,23/2/81
55,55,190.99,24/2/81
56,56,190.97,25/2/81
57,57,190.95,26/2/81
58,58,190.9057143,27/2/81
59,59,190.8614286,28/2/81
60,60,190.8171429,1/3/81
61,61,190.7728571,2/3/81
62,62,190.7285714,3/3/81
63,63,190.6842857,4/3/81
64,64,190.64,5/3/81
65,65,190.5971429,6/3/81
66,66,190.5542857,7/3/81
67,67,190.5114286,8/3/81
68,68,190.4685714,9/3/81
69,69,190.4257143,10/3/81
70,70,190.3828571,11/3/81
71,71,190.34,12/3/81
72,72,190.2985714,13/3/81
73,73,190.2571429,14/3/81
74,74,190.2157143,15/3/81
75,75,190.1742857,16/3/81
76,76,190.1328571,17/3/81
77,77,190.0914286,18/3/81
78,78,190.05,19/3/81
79,79,190.0071429,20/3/81
80,80,189.9642857,21/3/81
81,81,189.9214286,22/3/81
82,82,189.8785714,23/3/81
83,83,189.8357143,24/3/81
84,84,189.7928571,25/3/81
85,85,189.75,26/3/81
86,86,189.7328571,27/3/81
87,87,189.7157143,28/3/81
88,88,189.6985714,29/3/81
89,89,189.6814286,30/3/81
90,90,189.6642857,31/3/81
91,91,189.6471429,1/4/81
92,92,189.63,2/4/81
93,93,189.63,3/4/81
94,94,189.63,4/4/81
95,95,189.63,5/4/81
96,96,189.63,6/4/81
97,97,189.63,7/4/81
98,98,189.63,8/4/81
99,99,189.63,9/4/81
100,100,189.6171429,10/4/81
101,101,189.6042857,11/4/81
102,102,189.5914286,12/4/81
103,103,189.5785714,13/4/81
104,104,189.5657143,14/4/81
105,105,189.5528571,15/4/81
106,106,189.54,16/4/81
107,107,189.5285714,17/4/81
108,108,189.5171429,18/4/81
109,109,189.5057143,19/4/81
110,110,189.4942857,20/4/81
111,111,189.4828571,21/4/81
112,112,189.4714286,22/4/81
113,113,189.46,23/4/81
114,114,189.4471429,24/4/81
